Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-August-2022,697.05,698.50,683.50,685.80,690.092103817960411642,209405,14385,144508737.00,114029,54.45,15.00,-11.25
18-August-2022,699.90,703.00,695.10,696.30,698.236253697084584727,175138,9559,122287701.00,,,7.90,-3.60
17-August-2022,700.40,703.95,697.00,698.40,700.715801017969123477,177805,10664,124590773.00,89177,50.15,6.95,-2.00
16-August-2022,693.90,706.50,691.95,697.85,701.489236281028468296,222739,8868,156249011.00,62129,27.89,14.55,3.95
12-August-2022,684.00,687.00,681.10,682.15,684.349229060376150761,53117,2681,36350578.00,28216,53.12,5.90,-1.85
11-August-2022,683.10,689.50,681.00,682.35,685.496654270267463670,154077,8602,105619268.00,70098,45.50,8.50,-0.75
10-August-2022,682.00,688.00,680.45,682.65,684.572302325581395348,129000,7463,88309827.00,64470,49.98,7.55,0.65
8-August-2022,680.90,687.95,678.15,680.00,682.722623931817666659,132351,8884,90359022.00,68063,51.43,9.80,-0.90
5-August-2022,675.00,694.85,674.30,687.35,684.071077767357854885,287910,14277,196950904.00,105389,36.60,20.55,12.35
4-August-2022,680.05,684.25,670.25,673.70,676.498123093767107218,153444,10612,103804578.00,89480,58.31,14.00,-6.35
3-August-2022,685.00,688.00,677.00,678.50,680.631730836911381713,71035,4286,48348675.00,39100,55.04,11.00,-6.50
2-August-2022,682.00,688.70,680.00,685.35,684.995767641751353404,168464,10247,115397127.00,91920,54.56,8.70,3.35
1-August-2022,678.00,685.55,678.00,683.25,681.985693473856729871,175724,10708,119841254.00,105481,60.03,7.55,5.25
29-July-2022,676.00,683.30,675.00,677.85,678.298613343843018492,96419,4956,65400874.00,46709,48.44,8.30,1.85
28-July-2022,676.00,679.45,674.10,674.85,675.877293931858198253,110182,7589,74469512.00,65020,59.01,5.35,-1.15
27-July-2022,677.80,679.70,673.00,674.50,675.467696291887263348,95763,7399,64684813.00,43243,45.16,6.70,-3.30
26-July-2022,684.00,684.15,675.00,675.35,678.175690710179862785,129432,10364,87777636.00,78933,60.98,9.15,-8.65
25-July-2022,688.95,690.25,682.45,684.15,686.015971885167808157,111258,8577,76324765.00,57027,51.26,7.80,-4.80
22-July-2022,687.60,694.00,687.60,688.95,689.885048425678465961,128341,7662,88540537.00,55929,43.58,6.40,1.35
21-July-2022,688.90,693.00,686.80,687.55,689.314642921388738981,111180,7942,76638002.00,56929,51.20,6.20,-1.35
20-July-2022,692.00,696.95,687.00,687.85,690.937017070979335130,66780,4513,46140774.00,34584,51.79,9.95,-4.15
19-July-2022,696.35,698.85,687.80,688.75,691.984565082001245588,96340,5419,66665793.00,36969,38.37,11.05,-7.60
18-July-2022,708.60,712.75,693.50,696.35,703.086619995468043745,167698,14247,117906220.00,92766,55.32,19.25,-12.25
15-July-2022,718.00,721.45,705.00,708.55,709.919582519897882564,53272,3027,37818836.00,27629,51.86,16.45,-9.45
14-July-2022,719.00,721.10,708.70,712.15,715.839574350976974589,109010,7424,78033672.00,59347,54.44,12.40,-6.85
13-July-2022,724.75,724.75,715.60,719.00,719.490294796846069028,48067,2772,34583740.00,17909,37.26,9.15,-5.75
12-July-2022,718.00,724.45,714.15,717.30,719.672311888243422147,138229,8613,99479584.00,61470,44.47,10.30,-0.70
11-July-2022,709.80,721.35,704.55,718.40,714.961871991939200994,93291,4142,66699508.00,29620,31.75,16.80,8.60
8-July-2022,704.95,710.85,701.20,708.05,706.568868099296035568,151144,7771,106793645.00,76196,50.41,9.65,3.10
7-July-2022,709.75,714.75,696.75,698.15,704.399402970098334336,199320,11812,140400889.00,78447,39.36,18.00,-11.60
6-July-2022,707.90,713.65,701.75,703.05,706.160907701290436859,152429,8672,107639401.00,52962,34.75,11.90,-4.85
5-July-2022,697.90,712.50,697.15,702.80,706.195072442176617378,322188,15477,227527578.00,112870,35.03,15.35,4.90
4-July-2022,675.00,694.40,675.00,692.50,686.138799388261147158,202047,10232,138632286.00,103538,51.24,19.40,17.50
1-July-2022,676.00,679.85,669.60,676.75,674.887141854684285017,84079,3810,56743836.00,21665,25.77,10.25,0.75
30-June-2022,679.00,683.60,670.85,673.60,675.772596723467343229,161207,8592,108939273.00,49590,30.76,12.75,-5.40
29-June-2022,660.00,696.90,657.75,678.90,679.976495957687188145,397421,16768,270236939.00,104765,26.36,39.15,18.90
28-June-2022,664.80,664.80,659.35,663.35,662.275187869920861874,60148,3404,39834528.00,22146,36.82,5.45,-1.45
27-June-2022,671.00,671.05,662.00,664.65,664.494644485546035785,194099,13285,128977746.00,95964,49.44,9.05,-6.35
24-June-2022,670.00,673.40,659.15,661.70,663.562529326751628221,106558,5045,70707896.00,33171,31.13,14.25,-8.30
23-June-2022,669.80,674.75,658.40,664.90,667.188059990636552959,123886,6076,82655260.00,38124,30.77,16.35,-4.90
22-June-2022,666.00,684.65,664.70,668.55,673.469336664041923484,368290,15533,248032022.00,84202,22.86,19.95,2.55
21-June-2022,666.00,671.35,663.35,665.30,666.018960565945226588,142770,6584,95087527.00,46946,32.88,8.00,-0.70
20-June-2022,660.55,666.00,650.00,661.25,656.994061591238680704,392361,17612,257778847.00,124214,31.66,16.00,0.70
17-June-2022,669.20,669.75,651.30,654.70,656.957664199599683470,300762,12223,197587901.00,102629,34.12,18.45,-14.50
16-June-2022,705.00,705.45,667.00,669.20,680.505513878327715419,528666,25087,359760128.00,154385,29.20,38.45,-35.80
15-June-2022,680.55,709.70,679.15,690.45,696.106218100662813377,476303,18452,331557480.00,98808,20.74,30.55,9.90
14-June-2022,664.90,684.00,663.95,674.20,674.448172897854426516,319495,12943,215482819.00,98008,30.68,20.05,9.30
13-June-2022,690.65,691.40,666.90,668.20,677.706839228821579518,807284,49809,547101888.00,339721,42.08,24.50,-22.45
10-June-2022,715.00,719.40,708.70,709.70,712.433370581937813064,383907,25373,273508158.00,162949,42.44,10.70,-5.30
9-June-2022,730.50,736.15,720.05,721.95,726.690691176338463473,222606,11633,161765708.00,79260,35.61,16.10,-8.55
8-June-2022,752.90,753.55,735.95,738.00,742.322532181656874068,238956,14328,177382423.00,84010,35.16,17.60,-14.90
7-June-2022,773.00,773.70,751.00,752.90,758.480440669019247499,511495,36873,387958953.00,230914,45.14,22.70,-20.10
6-June-2022,800.25,801.00,775.40,777.40,784.532549579344913222,417563,34042,327591765.00,213019,51.01,25.60,-22.85
3-June-2022,807.05,811.00,800.00,800.25,803.562234844838098905,311610,23007,250398028.00,156552,50.24,11.00,-6.80
2-June-2022,811.00,813.20,805.00,805.85,808.326735009688735200,220359,18124,178122071.00,113707,51.60,8.20,-5.15
1-June-2022,811.50,817.00,808.55,810.55,812.384298092081089516,253103,16734,205616903.00,118081,46.65,8.45,-0.95
31-May-2022,811.00,822.00,810.00,811.50,816.098054611666914860,221601,12927,180848145.00,90507,40.84,12.00,0.50
30-May-2022,832.00,841.00,825.65,837.05,832.381115018778697970,167477,8653,139404692.00,46603,27.83,15.35,5.05
27-May-2022,819.00,824.25,814.20,821.55,819.766735165579096214,249639,16376,204645748.00,110852,44.40,10.05,2.55
26-May-2022,820.00,824.60,801.55,811.70,811.704015435512211003,417738,27701,339079612.00,150860,36.11,23.05,-8.30
25-May-2022,831.00,841.00,814.50,820.95,830.508804416106883094,456873,25319,379437049.00,135048,29.56,26.50,-10.05
24-May-2022,818.00,834.50,815.00,823.75,825.783693577138811511,474586,24656,391905380.00,156776,33.03,19.50,5.75
23-May-2022,826.15,852.10,804.00,816.85,828.554992270033496521,1397160,68908,1157623893.00,389450,27.87,48.10,-9.30
20-May-2022,847.15,856.95,825.05,826.25,836.932828260493762638,497486,26811,416362365.00,183737,36.93,31.90,-20.90
19-May-2022,868.70,868.70,838.55,840.75,851.990872893762646748,536205,39120,456841766.00,263547,49.15,30.15,-27.95
18-May-2022,886.20,890.00,874.00,876.25,881.714691521692019213,982873,59244,866613564.00,494096,50.27,16.00,-9.95
17-May-2022,867.20,920.00,860.10,875.45,891.181924834486245815,2754907,136430,2455123323.00,1296162,47.05,59.90,8.25
